date	experienced_2019	newcomer_2019	experienced_2020	newcomer_2020
2020-01-02	1928	47	2014	80
2020-01-03	1843	64	1987	100
2020-01-04	1691	35	2245	75
2020-01-05	1873	57	2170	58
2020-01-06	1527	61	2506	37
2020-01-07	1391	73	2661	53
2020-01-08	1783	44	2682	45
2020-01-09	1731	62	2681	79
2020-01-10	1639	71	2871	50
2020-01-11	1472	48	2803	87
2020-01-12	1870	41	2937	102
2020-01-13	1892	69	3307	134
2020-01-14	1751	49	3234	107
2020-01-15	2306	70	2309	65
2020-01-16	1954	83	2121	66
2020-01-17	1947	57	2207	50
2020-01-18	1624	104	2179	68
2020-01-19	1580	49	2075	123
2020-01-20	1648	58	2450	119
2020-01-21	1811	65	2185	85
2020-01-22	2302	59	2103	106
2020-01-23	1802	91	2597	217
2020-01-24	1776	44	2245	342
2020-01-25	1719	48	1833	200
2020-01-26	1510	42	1508	151
2020-01-27	1868	44	2593	120
2020-01-28	2323	65	2485	60
2020-01-29	1941	75	2421	112
2020-01-30	1821	92	2304	431
2020-01-31	1824	85	2224	121
2020-02-01	1831	58	2399	112
2020-02-02	1982	70	2345	145
2020-02-03	1897	53	2475	109
2020-02-04	1696	67	2364	138
2020-02-05	1699	74	2400	189
2020-02-06	1861	64	2439	190
2020-02-07	2390	79	2259	148
2020-02-08	1714	98	2182	130
2020-02-09	1569	61	1809	137
2020-02-10	1770	53	2095	126
2020-02-11	1935	110	1905	158
2020-02-12	2151	109	1948	318
2020-02-13	2088	72	2170	207
2020-02-14	1777	79	2420	239
2020-02-15	1871	85	2296	138
2020-02-16	1837	93	2151	127
2020-02-17	1923	83	2636	154
2020-02-18	1681	94	2184	182
2020-02-19	1973	78	2160	146
2020-02-20	1914	102	2096	170
2020-02-21	1967	66	2027	115
2020-02-22	1787	89	2248	179
2020-02-23	1718	66	2051	144
2020-02-24	1913	59	2214	148
2020-02-25	1660	58	2407	143
2020-02-26	2032	83	2207	118
2020-02-27	2060	59	2111	192
2020-02-28	1773	75	2596	121
2020-03-01	1882	69	2592	94
2020-03-02	1937	46	2083	124
2020-03-03	1941	69	2259	91
2020-03-04	1788	84	3110	81
2020-03-05	1764	75	2265	54
2020-03-06	1870	86	2583	110
2020-03-07	1807	83	2445	50
2020-03-08	1982	171	2865	84
2020-03-09	2471	83	2809	112
2020-03-10	2549	110	2138	66
2020-03-11	2507	92	2405	84
2020-03-12	2116	167	3059	135
2020-03-13	1972	252	2783	160
2020-03-14	1718	111	3307	65
2020-03-15	1921	72	2278	127
2020-03-16	1875	112	2369	100
2020-03-17	1972	83	2276	104
2020-03-18	2099	86	1845	114
2020-03-19	2135	94	2116	67
2020-03-20	1862	173	2358	108
2020-03-21	115	3	2475	107
2020-03-22	1772	91	2620	77
2020-03-23	1666	48	2687	193
2020-03-24	1816	47	2373	205
2020-03-25	2209	77	2877	147
2020-03-26	2019	113	2797	104
2020-03-27	1899	130	2367	70
2020-03-28	1992	117	2422	82
2020-03-29	2207	41	2634	62
2020-03-30	1504	105	2406	148
2020-03-31	1576	72	2754	147
2020-04-01	2142	97	2340	132
2020-04-02	2100	48	2287	91
2020-04-03	1908	53	2320	91
2020-04-04	1973	62	2437	66
2020-04-05	2012	49	2315	62
2020-04-06	1676	72	2313	116
2020-04-07	1551	73	2585	114
2020-04-08	2286	104	2300	101
2020-04-09	1946	57	2112	87
2020-04-10	1804	75	2071	78
2020-04-11	1857	86	2108	89
2020-04-12	2157	64	2574	84
2020-04-13	2218	121	2480	78
2020-04-14	2562	132	2868	147
2020-04-15	2353	125	2973	102
2020-04-16	1914	91	2674	71
2020-04-17	2029	74	2388	93
2020-04-18	1580	78	2271	83
2020-04-19	1726	96	2476	43
2020-04-20	1646	29	2608	98
2020-04-21	1579	64	2428	123
2020-04-22	1648	71	2738	91
2020-04-23	2106	62	2416	68
2020-04-24	2404	122	2061	59
2020-04-25	1840	98	2041	59
2020-04-26	2112	42	2262	116
2020-04-27	1935	70	2415	108
2020-04-28	1921	73	2980	96
2020-04-29	2275	63	2798	78
2020-04-30	2052	49	2677	105
2020-05-01	2616	63	2077	107
2020-05-02	2491	52	2613	108
2020-05-03	1947	114	2282	163
2020-05-04	1843	53	2904	161
2020-05-05	2032	56	2696	148
2020-05-06	1824	58	2846	167
2020-05-07	2260	98	2863	112
2020-05-08	1932	75	2479	68
2020-05-09	2222	101	2154	71
2020-05-10	2322	91	1937	97
2020-05-11	1793	80	2766	140
2020-05-12	2050	94	2830	121
2020-05-13	1871	109	2858	165
2020-05-14	2387	121	2518	95
2020-05-15	1963	56	2175	147
2020-05-16	2056	69	1871	84
2020-05-17	1676	69	1517	64
2020-05-18	1391	76	1926	86
2020-05-19	1626	73	1939	119
2020-05-20	2200	63	2409	150
2020-05-21	2026	69	2073	144
2020-05-22	2040	77	2212	156
2020-05-23	1785	76	2163	108
2020-05-24	1461	76	2199	111
2020-05-25	1387	96	2284	162
2020-05-26	1867	108	2284	114
2020-05-27	2195	100	2035	114
2020-05-28	2069	96	2155	114
2020-05-29	1845	97	2245	156
2020-05-30	1882	109	1816	125
2020-05-31	1784	62	2223	126
2020-06-01	1802	37	2356	101
2020-06-02	1866	51	2434	99
2020-06-03	2010	54	2592	91
2020-06-04	2343	78	2466	71
2020-06-05	2018	36	2555	140
2020-06-06	2028	82	2104	60
2020-06-07	2192	47	2362	69
2020-06-08	1472	27	3004	88
2020-06-09	1764	69	2186	125
2020-06-10	1967	66	2934	91
2020-06-11	1704	44	2361	90
2020-06-12	1552	39	2154	53
2020-06-13	1506	64	2068	71
2020-06-14	1546	44	2328	74
2020-06-15	1343	55	2526	83
2020-06-16	1522	49	2236	95
2020-06-17	1831	75	2635	166
2020-06-18	1630	58	2417	66
2020-06-19	1525	52	2459	118
2020-06-20	1436	63	1962	79
2020-06-21	1370	77	2142	94
2020-06-22	1319	65	2276	129
2020-06-23	1544	77	2182	62
2020-06-24	1672	64	2120	55
2020-06-25	1372	39	1713	114
2020-06-26	1513	53	1707	61
2020-06-27	1710	85	1202	84
2020-06-28	1244	65	1342	64
2020-06-29	1353	57	1903	88
2020-06-30	1245	67	1446	79
2020-07-01	1412	51	1648	64
2020-07-02	1403	44	2052	79
2020-07-03	1379	32	1661	47
2020-07-04	1100	31	1490	18
2020-07-05	1339	54	2007	47
2020-07-06	1258	34	1765	33
2020-07-07	1641	47	2335	60
2020-07-08	1894	61	2247	52
2020-07-09	1602	49	2020	53
2020-07-10	1828	44	1643	55
2020-07-11	1839	54	1504	103
2020-07-12	1694	33	1838	62
2020-07-13	1570	41	1667	40
2020-07-14	1370	37	1901	52
2020-07-15	1541	38	1735	70
2020-07-16	1384	70	2018	67
2020-07-17	1467	37	2292	99
2020-07-18	1403	58	1698	145
2020-07-19	1486	73	1556	191
2020-07-20	1658	34	1881	76
2020-07-21	1536	47	1771	81
2020-07-22	2034	96	1568	63
2020-07-23	1444	83	1715	56
2020-07-24	1592	115	1310	59
2020-07-25	1827	83	1369	32
2020-07-26	1738	58	2020	30
2020-07-27	1245	59	1769	53
2020-07-28	1458	45	1608	42
2020-07-29	1604	111	1612	115
2020-07-30	1619	99	1804	150
2020-07-31	1603	71	1750	51
2020-08-01	1427	48	1372	46
2020-08-02	1268	58	1644	58
2020-08-03	1433	40	1753	59
2020-08-04	1784	27	1825	72
2020-08-05	1808	47	1887	58
2020-08-06	1892	51	1975	38
2020-08-07	1816	44	1864	48
2020-08-08	1518	48	1380	52
2020-08-09	1433	43	1601	71
2020-08-10	1432	14	1612	102
2020-08-11	1380	47	1588	164
2020-08-12	1438	39	1640	50
2020-08-13	1268	25	1618	83
2020-08-14	1181	60	1285	68
2020-08-15	1337	51	1393	70
2020-08-16	2257	62	1487	98
2020-08-17	2211	43	1578	70
2020-08-18	1227	53	1579	76
2020-08-19	1520	61	1464	56
2020-08-20	1665	45	1584	59
2020-08-21	1504	67	1593	74
2020-08-22	1738	121	1389	44
2020-08-23	1797	97	1692	47
2020-08-24	1401	67	1698	58
2020-08-25	1326	61	1744	32
2020-08-26	1381	70	1504	38
2020-08-27	1836	52	1588	54
2020-08-28	1632	102	1454	46
2020-08-29	2158	89	1692	32
2020-08-30	2329	27	1684	54
2020-08-31	2175	20	1772	23
2020-09-01	2354	49	1513	51
2020-09-02	2329	59	1545	56
2020-09-03	2201	39	1612	36
2020-09-04	2316	47	1544	49
2020-09-05	2213	64	1701	66
2020-09-06	1312	39	1613	54
2020-09-07	1753	44	1882	63
2020-09-08	1683	79	1909	46
2020-09-09	1629	73	1853	47
2020-09-10	1517	96	1941	123
2020-09-11	1737	64	1623	155
2020-09-12	1475	87	1847	74
2020-09-13	1406	86	2507	50
2020-09-14	1367	63	2053	136
2020-09-15	1465	47	1584	146
2020-09-16	1960	62	1659	82
2020-09-17	1795	29	2022	53
2020-09-18	1440	34	1835	94
2020-09-19	1861	59	2017	60
2020-09-20	1938	46	2181	76
2020-09-21	2078	25	1709	38
2020-09-22	1371	50	1744	62
2020-09-23	2140	75	1742	58
2020-09-24	1598	53	1767	58
2020-09-25	1684	46	1684	37
2020-09-26	1743	64	2104	66
2020-09-27	2154	78	1804	60
2020-09-28	2008	41	2124	72
2020-09-29	1904	60	1585	81
2020-09-30	2072	84	1838	71
2020-10-01	2452	82	1926	82
2020-10-02	1962	116	2092	64
2020-10-03	1719	157	1587	69
2020-10-04	1855	48	1819	84
2020-10-05	1722	78	2194	100
2020-10-06	1590	84	2099	44
2020-10-07	1858	97	1743	49
2020-10-08	1887	93	2014	31
2020-10-09	1475	150	2043	43
2020-10-10	2103	90	1990	29
2020-10-11	1751	85	1687	61
2020-10-12	1590	81	1796	111
2020-10-13	1701	127	2144	66
2020-10-14	1922	68	2577	66
2020-10-15	1852	62	2207	96
2020-10-16	1812	71	1976	65
2020-10-17	1509	65	2276	59
2020-10-18	1564	84	1951	39
2020-10-19	1362	74	1941	41
2020-10-20	1467	67	1733	65
2020-10-21	2214	51	1991	60
2020-10-22	1698	94	1875	62
2020-10-23	1877	84	1808	85
2020-10-24	1682	61	1978	40
2020-10-25	1552	114	2003	52
2020-10-26	1305	65	2149	83
2020-10-27	1448	68	2358	76
2020-10-28	1873	44	2499	85
2020-10-29	2160	72	2178	93
2020-10-30	2090	95	2101	99
2020-10-31	1823	120	1926	190
2020-11-01	2047	83	2259	157
2020-11-02	2236	71	2399	111
2020-11-03	2915	139	2071	78
2020-11-04	2751	125	1698	106
2020-11-05	2316	135	1833	126
2020-11-06	2051	79	1822	101
2020-11-07	2285	84	1531	81
2020-11-08	1968	77	1863	60
2020-11-09	1689	84	2079	93
2020-11-10	1903	63	1980	86
2020-11-11	2599	60	2119	117
2020-11-12	2297	185	1995	115
2020-11-13	1977	70	2318	108
2020-11-14	2033	80	1894	62
2020-11-15	1965	87	2203	58
2020-11-16	1555	92	2182	117
2020-11-17	1909	73	2205	84
2020-11-18	2282	93	2132	66
2020-11-19	2116	114	1998	95
2020-11-20	2214	173	2166	92
2020-11-21	1969	92	2001	86
2020-11-22	1968	111	2246	113
2020-11-23	1589	86	2304	157
2020-11-24	1921	148	2388	166
2020-11-25	2016	92	2338	201
2020-11-26	2072	163	1996	186
2020-11-27	1821	163	2521	226
2020-11-28	2021	129	2023	241
2020-11-29	2305	156	2109	273
2020-11-30	1662	140	2247	97
2020-12-01	1733	211	2402	144
2020-12-02	2385	148	1984	168
2020-12-03	2255	116	2336	133
2020-12-04	2095	107	2600	132
2020-12-05	2470	71	1908	105
2020-12-06	1568	105	2113	84
2020-12-07	1845	112	2389	106
2020-12-08	1823	93	2063	102
2020-12-09	2067	98	2114	100
2020-12-10	2158	96	2184	77
2020-12-11	2123	73	2359	79
2020-12-12	2060	92	2086	139
2020-12-13	1771	87	2154	71
2020-12-14	1762	66	2134	160
2020-12-15	2336	79	1753	115
2020-12-16	1923	96	1898	71
2020-12-17	1883	84	1950	108
2020-12-18	1724	83	1967	77
2020-12-19	1930	79	2255	134
2020-12-20	1450	73	2249	64
2020-12-21	1581	89	2243	82
2020-12-22	1659	87	1776	81
2020-12-23	1658	76	1641	108
2020-12-24	1182	28	1196	46
2020-12-25	1661	78	1405	50
2020-12-26	1490	62	1448	49
2020-12-27	1622	52	1673	44
2020-12-28	1853	43	2000	63
2020-12-29	1885	40	1891	100
2020-12-30	1651	90	1866	81
2020-12-31	1497	30	1891	44
