date	2017	2018	2019	2020
2020-01-02	150	132	121	124
2020-01-03	138	181	82	96
2020-01-04	129	105	119	150
2020-01-05	165	191	96	157
2020-01-06	126	252	84	125
2020-01-07	131	151	70	114
2020-01-08	106	116	70	103
2020-01-09	99	152	82	102
2020-01-10	93	129	93	107
2020-01-11	113	111	78	103
2020-01-12	88	102	119	111
2020-01-13	140	116	98	123
2020-01-14	118	90	121	123
2020-01-15	125	113	125	117
2020-01-16	87	115	117	103
2020-01-17	77	107	94	138
2020-01-18	121	111	103	103
2020-01-19	71	81	85	106
2020-01-20	112	136	110	109
2020-01-21	126	129	118	120
2020-01-22	142	98	129	93
2020-01-23	125	109	100	224
2020-01-24	113	103	87	244
2020-01-25	159	101	187	289
2020-01-26	176	187	101	124
2020-01-27	99	112	133	149
2020-01-28	199	127	147	134
2020-01-29	177	83	108	133
2020-01-30	106	90	144	126
2020-01-31	127	93	137	141
2020-02-01	135	97	145	111
2020-02-02	155	104	130	142
2020-02-03	205	122	124	99
2020-02-04	140	146	82	101
2020-02-05	149	90	85	89
2020-02-06	147	99	142	160
2020-02-07	128	144	167	139
2020-02-08	128	89	107	106
2020-02-09	119	111	118	105
2020-02-10	216	197	159	120
2020-02-11	146	133	175	111
2020-02-12	204	122	156	197
2020-02-13	159	104	161	108
2020-02-14	129	96	144	102
2020-02-15	144	104	143	175
2020-02-16	146	125	120	130
2020-02-17	152	118	181	178
2020-02-18	143	123	100	105
2020-02-19	203	108	133	107
2020-02-20	138	87	130	89
2020-02-21	127	114	118	136
2020-02-22	140	68	88	93
2020-02-23	194	79	129	97
2020-02-24	198	142	126	134
2020-02-25	211	135	118	86
2020-02-26	157	91	170	122
2020-02-27	109	100	149	87
2020-02-28	99	105	115	105
2020-02-29	0	0	0	140
2020-03-01	112	108	104	107
2020-03-02	190	96	101	111
2020-03-03	119	105	114	114
2020-03-04	199	129	110	91
2020-03-05	143	98	124	100
2020-03-06	101	76	153	96
2020-03-07	133	102	94	114
2020-03-08	102	133	132	155
2020-03-09	115	86	201	179
2020-03-10	136	81	266	125
2020-03-11	110	131	212	145
2020-03-12	96	86	112	144
2020-03-13	88	73	188	104
2020-03-14	98	107	99	126
2020-03-15	153	95	162	112
2020-03-16	85	67	82	102
2020-03-17	122	110	84	118
2020-03-18	112	89	80	114
2020-03-19	145	77	89	129
2020-03-20	100	65	87	133
2020-03-21	66	59	5	184
2020-03-22	106	107	111	255
2020-03-23	119	80	107	134
2020-03-24	171	100	93	183
2020-03-25	132	122	83	158
2020-03-26	360	66	69	204
2020-03-27	114	86	96	131
2020-03-28	54	85	84	150
2020-03-29	105	66	87	186
2020-03-30	131	83	120	163
2020-03-31	119	97	75	188
2020-04-01	280	88	90	182
2020-04-02	114	75	87	150
2020-04-03	129	72	144	163
2020-04-04	155	94	98	130
2020-04-05	99	65	88	129
2020-04-06	115	63	81	160
2020-04-07	115	74	82	216
2020-04-08	414	207	81	167
2020-04-09	342	68	131	146
2020-04-10	137	84	120	140
2020-04-11	89	86	109	166
2020-04-12	107	121	91	141
2020-04-13	113	97	152	168
2020-04-14	264	88	107	286
2020-04-15	88	126	114	122
2020-04-16	167	161	88	218
2020-04-17	101	103	59	169
2020-04-18	119	100	84	219
2020-04-19	73	89	139	170
2020-04-20	98	72	76	259
2020-04-21	94	67	100	151
2020-04-22	123	76	73	150
2020-04-23	226	63	109	153
2020-04-24	111	101	155	153
2020-04-25	135	71	91	128
2020-04-26	151	97	92	157
2020-04-27	137	96	92	134
2020-04-28	103	74	84	132
2020-04-29	105	140	92	203
2020-04-30	144	79	91	134
2020-05-01	138	91	105	155
2020-05-02	122	75	169	173
2020-05-03	114	73	125	164
2020-05-04	137	81	112	165
2020-05-05	192	77	106	109
2020-05-06	150	51	143	139
2020-05-07	129	79	101	114
2020-05-08	191	85	76	98
2020-05-09	153	65	89	109
2020-05-10	139	94	113	137
2020-05-11	122	67	80	144
2020-05-12	112	116	130	147
2020-05-13	204	93	65	148
2020-05-14	165	90	180	143
2020-05-15	124	90	140	128
2020-05-16	131	101	175	120
2020-05-17	157	113	82	100
2020-05-18	197	80	150	108
2020-05-19	142	102	104	113
2020-05-20	114	97	64	114
2020-05-21	168	71	114	92
2020-05-22	140	105	78	108
2020-05-23	128	111	104	130
2020-05-24	117	97	49	129
2020-05-25	177	102	77	134
2020-05-26	196	82	74	159
2020-05-27	189	53	60	97
2020-05-28	126	75	102	108
2020-05-29	113	90	102	106
2020-05-30	206	95	77	83
2020-05-31	158	87	93	119
2020-06-01	140	128	137	119
2020-06-02	129	99	51	128
2020-06-03	139	103	67	116
2020-06-04	150	90	67	124
2020-06-05	164	118	67	111
2020-06-06	140	110	79	98
2020-06-07	271	86	65	92
2020-06-08	178	88	90	109
2020-06-09	127	110	82	126
2020-06-10	195	177	73	148
2020-06-11	204	85	65	111
2020-06-12	120	115	41	116
2020-06-13	206	109	57	83
2020-06-14	135	109	66	138
2020-06-15	138	92	37	97
2020-06-16	141	126	54	180
2020-06-17	206	118	58	177
2020-06-18	129	106	71	102
2020-06-19	121	113	82	128
2020-06-20	108	139	61	98
2020-06-21	110	116	86	104
2020-06-22	141	99	84	103
2020-06-23	95	87	67	118
2020-06-24	198	117	80	79
2020-06-25	189	116	61	107
2020-06-26	149	104	122	87
2020-06-27	154	109	72	73
2020-06-28	92	109	58	98
2020-06-29	133	99	78	97
2020-06-30	177	145	85	110
2020-07-01	90	103	60	91
2020-07-02	75	96	62	137
2020-07-03	103	121	77	102
2020-07-04	84	140	55	93
2020-07-05	57	119	72	84
2020-07-06	108	117	89	80
2020-07-07	69	64	65	221
2020-07-08	81	82	64	235
2020-07-09	174	64	51	146
2020-07-10	178	86	78	131
2020-07-11	156	72	81	125
2020-07-12	188	75	61	91
2020-07-13	91	97	87	130
2020-07-14	161	66	54	135
2020-07-15	146	112	80	153
2020-07-16	153	64	59	184
2020-07-17	194	129	90	146
2020-07-18	94	110	75	101
2020-07-19	134	82	69	76
2020-07-20	106	86	68	89
2020-07-21	98	71	81	94
2020-07-22	86	69	101	62
2020-07-23	133	76	88	86
2020-07-24	132	111	65	69
2020-07-25	139	105	73	84
2020-07-26	135	138	76	212
2020-07-27	123	86	63	68
2020-07-28	167	365	86	71
2020-07-29	106	173	82	92
2020-07-30	97	89	109	95
2020-07-31	103	88	83	87
2020-08-01	198	107	76	64
2020-08-02	107	134	70	60
2020-08-03	96	105	78	100
2020-08-04	89	77	127	84
2020-08-05	67	91	103	81
2020-08-06	180	98	80	97
2020-08-07	99	91	67	70
2020-08-08	138	62	75	80
2020-08-09	99	86	95	88
2020-08-10	134	107	141	92
2020-08-11	151	122	82	71
2020-08-12	138	71	87	92
2020-08-13	120	59	77	81
2020-08-14	124	75	64	64
2020-08-15	110	61	78	56
2020-08-16	96	128	57	76
2020-08-17	80	72	73	58
2020-08-18	111	63	56	78
2020-08-19	122	89	80	75
2020-08-20	119	74	89	82
2020-08-21	165	76	88	104
2020-08-22	159	67	94	75
2020-08-23	130	75	131	74
2020-08-24	120	92	102	117
2020-08-25	116	74	73	108
2020-08-26	95	163	96	107
2020-08-27	105	104	82	76
2020-08-28	115	76	90	108
2020-08-29	156	132	95	65
2020-08-30	98	150	160	89
2020-08-31	74	93	119	130
2020-09-01	83	140	74	93
2020-09-02	133	86	120	97
2020-09-03	117	94	91	89
2020-09-04	84	76	86	108
2020-09-05	81	113	182	72
2020-09-06	112	132	142	82
2020-09-07	65	166	195	86
2020-09-08	84	241	128	109
2020-09-09	125	79	123	94
2020-09-10	104	143	66	69
2020-09-11	88	82	140	78
2020-09-12	67	69	111	54
2020-09-13	77	80	83	87
2020-09-14	62	156	92	87
2020-09-15	67	68	73	72
2020-09-16	83	213	102	78
2020-09-17	87	181	133	84
2020-09-18	97	361	89	79
2020-09-19	85	170	92	82
2020-09-20	87	266	183	75
2020-09-21	83	243	87	58
2020-09-22	74	144	96	69
2020-09-23	116	129	102	75
2020-09-24	102	98	89	71
2020-09-25	105	93	69	82
2020-09-26	168	63	135	93
2020-09-27	122	75	155	74
2020-09-28	125	63	92	100
2020-09-29	107	61	242	90
2020-09-30	125	76	104	83
2020-10-01	117	96	77	71
2020-10-02	114	85	155	49
2020-10-03	121	90	130	55
2020-10-04	102	78	136	81
2020-10-05	96	90	95	94
2020-10-06	150	58	99	96
2020-10-07	83	42	86	108
2020-10-08	109	88	91	77
2020-10-09	108	100	80	56
2020-10-10	98	66	90	86
2020-10-11	114	99	84	80
2020-10-12	124	143	58	72
2020-10-13	87	113	103	69
2020-10-14	208	98	64	99
2020-10-15	117	134	83	74
2020-10-16	85	99	60	81
2020-10-17	100	127	61	93
2020-10-18	86	108	76	99
2020-10-19	92	129	80	99
2020-10-20	132	61	70	101
2020-10-21	121	96	90	83
2020-10-22	126	117	90	79
2020-10-23	98	109	90	82
2020-10-24	74	100	96	72
2020-10-25	118	151	88	91
2020-10-26	113	162	72	115
2020-10-27	149	84	45	152
2020-10-28	131	101	106	217
2020-10-29	160	81	94	88
2020-10-30	110	78	72	91
2020-10-31	209	101	98	83
2020-11-01	83	91	93	146
2020-11-02	89	148	110	134
2020-11-03	77	69	108	117
2020-11-04	87	123	89	88
2020-11-05	68	103	135	79
2020-11-06	86	111	86	97
2020-11-07	87	95	93	71
2020-11-08	82	113	92	101
2020-11-09	81	104	77	124
2020-11-10	94	212	73	108
2020-11-11	110	70	107	129
2020-11-12	81	78	111	115
2020-11-13	106	70	118	136
2020-11-14	78	101	77	103
2020-11-15	92	107	85	89
2020-11-16	95	118	84	117
2020-11-17	112	102	113	112
2020-11-18	121	116	112	86
2020-11-19	133	103	116	98
2020-11-20	90	97	67	96
2020-11-21	88	89	85	109
2020-11-22	110	85	127	108
2020-11-23	119	110	91	130
2020-11-24	102	106	95	114
2020-11-25	137	77	95	105
2020-11-26	132	110	121	134
2020-11-27	125	95	107	164
2020-11-28	119	73	133	147
2020-11-29	161	100	163	161
2020-11-30	111	90	148	136
2020-12-01	98	85	122	129
2020-12-02	101	103	129	127
2020-12-03	114	80	109	120
2020-12-04	125	78	113	127
2020-12-05	131	99	83	116
2020-12-06	131	142	120	107
2020-12-07	127	92	94	154
2020-12-08	190	95	89	113
2020-12-09	120	83	90	142
2020-12-10	188	134	115	131
2020-12-11	166	66	123	114
2020-12-12	145	100	89	157
2020-12-13	102	83	94	132
2020-12-14	98	116	89	127
2020-12-15	127	114	103	108
2020-12-16	138	85	154	132
2020-12-17	120	92	103	117
2020-12-18	99	87	101	122
2020-12-19	107	97	100	241
2020-12-20	99	96	117	165
2020-12-21	97	190	141	134
2020-12-22	94	66	135	124
2020-12-23	239	108	125	154
2020-12-24	204	51	69	115
2020-12-25	108	96	96	120
2020-12-26	567	99	110	90
2020-12-27	113	96	128	110
2020-12-28	138	127	133	146
2020-12-29	127	106	196	118
2020-12-30	147	63	107	141
2020-12-31	183	53	126	131
